Timestep  Iteration  resNorm(0)  resNorm(1)  
1  1  1.0000000000000000  1.0000000000000000  
1  2  0.5000000000000000  0.4993857571843393  
1  3  0.0000000000000000  0.0000106750016826  
2  1  1.0000000000000000  1.0094421973373269  
2  2  0.0000000000000001  0.0003523122490608  
3  1  0.4999996573055296  0.5063425002545819  
3  2  0.0000000000000001  0.0007500908294582  
4  1  0.0000001370778577  0.0230512331350084  
4  2  0.0000000000000000  0.0000000026311545  
5  1  0.0000001370778577  0.0124451789348413  
5  2  0.0000000000000000  0.0000000014036236  
6  1  0.0000001370778577  0.0071455008071599  
6  2  0.0000000000000000  0.0000000021319492  
7  1  0.0000001370778577  0.0040976421530614  
7  2  0.0000000000000000  0.0000000143209944  
8  1  0.0000001370778577  0.0023083688934658  
8  2  0.0000000000000000  0.0000000066965253  
9  1  0.0000001370778577  0.0012278905649269  
9  2  0.0000000000000000  0.0000000238234932  
10  1  0.0000001370778577  0.0006528626955823  
11  1  0.0000001370778577  0.0002900950213007  
12  1  0.0000001370778577  0.0002626690709174  
13  1  0.0000001370778577  0.0001266971982171  
14  1  0.0000001370778577  0.0001524752917558  
15  1  0.0000001370778577  0.0001339619295331  
16  1  0.0000001370778577  0.0001012235881618  
17  1  0.0000001370778577  0.0000793749399775  
18  1  0.0000001370778577  0.0000680087780789  
19  1  0.0000001370778577  0.0000617785311232  
20  1  0.0000001370778577  0.0001055188663934  
21  1  0.0000001370778577  0.0002394204975776  
22  1  0.0000001370778577  0.0001696111791078  
23  1  0.0000001370778577  0.0000544526861860  
24  1  0.0000001370778577  0.0000345314639459  
25  1  0.0000001370778577  0.0000679495332867  
26  1  0.0000001370778577  0.0001277095751127  
27  1  0.0000001370778577  0.0001254494327400  
28  1  0.0000001370778577  0.0001418566011764  
29  1  0.0000001370778577  0.0001846570400176  
30  1  0.0000001370778577  0.0001452602093268  
31  1  0.0000001370778577  0.0000590787567008  
32  1  0.0000001370778577  0.0000265679564649  
33  1  0.0000001370778577  0.0000566728043467  
34  1  0.0000001370778577  0.0000935236671908  
35  1  0.0000001370778577  0.0002103792440198  
36  1  0.0000001370778577  0.0001646412951959  
37  1  0.0000001370778577  0.0000565261475385  
38  1  0.0000001370778577  0.0000234261278364  
39  1  0.0000001370778577  0.0000139942364898  
40  1  0.0000001370778577  0.0000132691888980  
41  1  0.0000001370778577  0.0000299610565300  
42  1  0.0000001370778577  0.0000809672093198  
43  1  0.0000001370778577  0.0000694776153913  
44  1  0.0000001370778578  0.0000408189808967  
45  1  0.0000001370778576  0.0000220775113368  
46  1  0.0000001370778577  0.0000177324750352  
47  1  0.0000001370778577  0.0000140915026601  
48  1  0.0000001370778577  0.0000121451018171  
49  1  0.0000001370778577  0.0000241443907155  
50  1  0.0000001370778577  0.0000291099387027  
51  1  inf  0.0000376888605528  
