t	dt	da	x	y	dx	dy	Fx	Fy	Mz
3.47	0.01	-0.04	-0.247651	0.0342763	2.38087e-05	0.00017291	10.9568	606.664	5.42094
3.48	0.01	-0.04	-0.247627	0.0344492	2.39294e-05	0.000172893	11.0479	609.728	5.44545
3.49	0.01	-0.04	-0.247603	0.0346221	2.40501e-05	0.000172876	11.1385	612.793	5.46919
3.5	0.01	-0.04	-0.247579	0.034795	2.41708e-05	0.00017286	11.2285	615.86	5.49265
3.51	0.01	0	-0.247579	0.034795	0	0	11.3181	618.929	5.49155
3.52	0.01	0	-0.247579	0.034795	0	0	6.31578	585.853	-7.26274
3.53	0.01	0	-0.247579	0.034795	0	0	8.07169	602.516	3.59543
3.54	0.01	0	-0.247579	0.034795	0	0	10.355	621.038	6.84372
3.55	0.01	0	-0.247579	0.034795	0	0	9.68128	620.401	3.02223
3.56	0.01	0	-0.247579	0.034795	0	0	7.64121	610.059	1.32417
3.57	0.01	0	-0.247579	0.034795	0	0	7.24425	609.623	2.30191
3.58	0.01	0	-0.247579	0.034795	0	0	8.2819	618.771	3.37701
3.59	0.01	0	-0.247579	0.034795	0	0	8.32895	622.17	3.51242
3.6	0.01	0	-0.247579	0.034795	0	0	7.23675	617.568	2.57269
3.61	0.01	0	-0.247579	0.034795	0	0	6.86205	616.489	2.05115
3.62	0.01	0	-0.247579	0.034795	0	0	7.23856	620.805	2.72261
3.63	0.01	0	-0.247579	0.034795	0	0	7.15943	622.828	3.15295
3.64	0.01	0	-0.247579	0.034795	0	0	6.71294	621.586	2.59117
3.65	0.01	0	-0.247579	0.034795	0	0	6.50997	621.499	2.19942
3.66	0.01	0	-0.247579	0.034795	0	0	6.47124	623.068	2.55978
3.67	0.01	0	-0.247579	0.034795	0	0	6.38821	624.195	2.7365
3.68	0.01	0	-0.247579	0.034795	0	0	6.23467	624.425	2.42676
3.69	0.01	0	-0.247579	0.034795	0	0	6.03729	624.542	2.31816
3.7	0.01	0	-0.247579	0.034795	0	0	5.91987	625.111	2.4314
3.71	0.01	0	-0.247579	0.034795	0	0	5.86955	625.917	2.40902
3.72	0.01	0	-0.247579	0.034795	0	0	5.75551	626.377	2.3453
3.73	0.01	0	-0.247579	0.034795	0	0	5.61257	626.552	2.31729
3.74	0.01	0	-0.247579	0.034795	0	0	5.52117	626.931	2.27662
3.75	0.01	0	-0.247579	0.034795	0	0	5.45427	627.485	2.2758
3.76	0.01	0	-0.247579	0.034795	0	0	5.36853	627.871	2.2817
3.77	0.01	0	-0.247579	0.034795	0	0	5.27482	628.119	2.23445
3.78	0.01	0	-0.247579	0.034795	0	0	5.19927	628.444	2.20422
3.79	0.01	0	-0.247579	0.034795	0	0	5.13566	628.821	2.21492
3.8	0.01	0	-0.247579	0.034795	0	0	5.06951	629.139	2.2054
3.81	0.01	0	-0.247579	0.034795	0	0	5.00377	629.415	2.17813
3.82	0.01	0	-0.247579	0.034795	0	0	4.94343	629.695	2.16818
3.83	0.01	0	-0.247579	0.034795	0	0	4.88853	629.984	2.16566
3.84	0.01	0	-0.247579	0.034795	0	0	4.83758	630.268	2.156
3.85	0.01	0	-0.247579	0.034795	0	0	4.78765	630.532	2.14627
3.86	0.01	0	-0.247579	0.034795	0	0	4.73886	630.782	2.14002
3.87	0.01	0	-0.247579	0.034795	0	0	4.69435	631.038	2.13426
3.88	0.01	0	-0.247579	0.034795	0	0	4.65312	631.294	2.12978
3.89	0.01	0	-0.247579	0.034795	0	0	4.61228	631.537	2.1264
3.9	0.01	0	-0.247579	0.034795	0	0	4.57287	631.771	2.12216
3.91	0.01	0	-0.247579	0.034795	0	0	4.53623	632.006	2.11913
3.92	0.01	0	-0.247579	0.034795	0	0	4.50124	632.239	2.11864
3.93	0.01	0	-0.247579	0.034795	0	0	4.46733	632.466	2.11809
3.94	0.01	0	-0.247579	0.034795	0	0	4.43491	632.688	2.11732
3.95	0.01	0	-0.247579	0.034795	0	0	4.40394	632.908	2.11833
3.96	0.01	0	-0.247579	0.034795	0	0	4.37429	633.126	2.12046
3.97	0.01	0	-0.247579	0.034795	0	0	4.34586	633.342	2.12264
3.98	0.01	0	-0.247579	0.034795	0	0	4.31844	633.555	2.1255
3.99	0.01	0	-0.247579	0.034795	0	0	4.292	633.766	2.12918
