#t	dt	oldY		oldTh	xTail	yTail	xTip	yTip	dxTail	dyTail	dxTip	dyTip	Fy
0.24	0.005	0.0888505	0	0.75	0.0901105	-0.25	0.0888505	0	-0.000407084	0	-0.000407084	3489
0.245	0.005	0.0884497	0	0.75	0.0897097	-0.25	0.0884497	0	-0.000400812	0	-0.000400812	3480.31
0.25	0.005	0.0880206	0	0.75	0.0892806	-0.25	0.0880206	0	-0.000429073	0	-0.000429073	3499.52
0.255	0.005	0.0876207	0	0.75	0.0888807	-0.25	0.0876207	0	-0.000399948	0	-0.000399948	3486.37
0.26	0.005	0.0872545	0	0.75	0.0885145	-0.25	0.0872545	0	-0.000366131	0	-0.000366131	3489.83
0.265	0.005	0.0869443	0	0.75	0.0882043	-0.25	0.0869443	0	-0.000310275	0	-0.000310275	3482.08
0.27	0.005	0.0866953	0	0.75	0.0879553	-0.25	0.0866953	0	-0.00024895	0	-0.00024895	3477.78
0.275	0.005	0.0865106	0	0.75	0.0877706	-0.25	0.0865106	0	-0.000184744	0	-0.000184744	3471.75
0.28	0.005	0.0864034	0	0.75	0.0876634	-0.25	0.0864034	0	-0.000107168	0	-0.000107168	3461.73
0.285	0.005	0.0863553	0	0.75	0.0876153	-0.25	0.0863553	0	-4.81049e-05	0	-4.81049e-05	3459.75
0.29	0.005	0.0863694	0	0.75	0.0876294	-0.25	0.0863694	0	1.41442e-05	0	1.41442e-05	3450.6
0.295	0.005	0.0864342	0	0.75	0.0876942	-0.25	0.0864342	0	6.47493e-05	0	6.47493e-05	3447.08
0.3	0.005	0.086542	0	0.75	0.087802	-0.25	0.086542	0	0.000107802	0	0.000107802	3442.12
0.305	0.005	0.0866814	0	0.75	0.0879414	-0.25	0.0866814	0	0.000139413	0	0.000139413	3439.44
0.31	0.005	0.0868423	0	0.75	0.0881023	-0.25	0.0868423	0	0.000160915	0	0.000160915	3437.25
0.315	0.005	0.0870141	0	0.75	0.0882741	-0.25	0.0870141	0	0.000171825	0	0.000171825	3436.48
